PID,ArrivalTime,BurstTime,Priority,CPUUsage,BatteryImpact,TemperatureImpact,ForegroundTask
101,0,10,8,90,95,80,1
102,2,5,3,30,20,25,0
103,4,12,7,50,40,35,1
104,5,8,5,20,15,20,0
105,7,15,9,80,85,75,0
106,9,4,2,15,20,18,1
107,11,20,6,65,70,60,0
108,13,7,4,35,30,32,1
109,15,18,10,95,90,88,0
110,16,3,1,10,12,15,1
111,18,11,5,45,50,42,0
112,20,14,8,72,65,70,1
113,22,6,3,28,25,30,0
114,24,9,7,55,45,50,1
115,26,16,9,88,92,85,0
116,28,5,2,22,18,20,1
117,30,13,6,60,62,58,0
118,32,8,4,40,35,38,1
119,34,19,10,98,96,92,0
120,36,4,1,12,15,14,1
121,38,10,5,48,44,46,0
122,40,12,8,75,68,72,1
123,42,7,3,32,28,31,0
124,44,15,7,58,52,55,1
125,46,20,9,82,86,78,0
126,48,3,2,18,16,19,1
127,50,11,6,63,60,65,0
128,52,6,4,38,33,36,1
129,54,17,10,93,91,89,0
130,56,5,1,14,13,17,1
131,58,9,5,46,48,44,0
132,60,14,8,70,73,69,1
133,62,8,3,26,24,29,0
134,64,13,7,52,47,53,1
135,66,18,9,85,88,82,0
136,68,4,2,16,19,16,1
137,70,12,6,67,64,61,0
138,72,7,4,36,31,34,1
139,74,16,10,97,94,90,0
140,76,3,1,11,14,13,1
141,78,10,5,43,46,41,0
142,80,15,8,77,71,74,1
143,82,6,3,29,27,26,0
144,84,9,7,57,49,51,1
145,86,19,9,89,87,84,0
146,88,5,2,21,17,22,1
147,90,13,6,61,59,63,0
148,92,8,4,34,32,37,1
149,96,17,10,92,93,87,0
150,100,4,1,13,11,16,1
151,1,6,4,25,22,28,0
152,3,17,9,84,81,79,1
153,6,9,6,54,58,49,0
154,8,12,2,31,26,33,1
155,10,21,8,76,74,71,0
156,12,5,5,44,39,45,1
157,14,14,3,27,29,24,0
158,17,8,7,68,63,66,1
159,19,16,10,91,89,86,0
160,21,3,1,17,14,18,1
161,23,11,5,49,52,47,0
162,25,7,8,73,69,76,1
163,27,18,4,37,41,35,0
164,29,10,6,59,56,62,1
165,31,15,9,87,83,81,0
166,33,4,2,23,21,27,1
167,35,13,7,64,67,59,0
168,37,6,3,33,36,30,1
169,39,19,10,96,92,94,0
170,41,5,1,19,18,21,1
171,43,12,5,47,45,48,0
172,45,8,8,79,72,77,1
173,47,14,3,39,34,43,0
174,49,9,7,56,53,57,1
175,51,20,9,83,90,80,0
176,53,3,2,16,12,20,1
177,55,11,6,66,61,68,0
178,57,7,4,42,38,40,1
179,59,17,10,94,97,91,0
180,61,4,1,15,16,12,1
181,63,10,5,51,49,54,0
182,65,13,8,71,66,73,1
183,67,6,3,24,23,32,0
184,69,16,7,62,57,60,1
185,71,18,9,86,84,83,0
186,73,5,2,20,19,17,1
187,75,12,6,69,70,64,0
188,77,8,4,41,37,39,1
189,79,15,10,99,95,93,0
190,81,3,1,13,11,15,1
191,83,9,5,53,46,50,0
192,85,14,8,78,75,70,1
193,87,7,3,35,29,34,0
194,89,13,7,58,55,52,1
195,91,19,9,88,91,85,0
196,93,4,2,18,13,16,1
197,95,11,6,63,65,61,0
198,97,6,4,30,27,31,1
199,99,17,10,90,88,89,0
200,100,5,1,12,10,14,1
201,0,10,8,90,95,80,1
202,2,5,3,30,20,25,0
203,4,12,7,50,40,35,1
204,5,8,5,20,15,20,0
205,7,15,9,80,85,75,0
206,9,4,2,15,20,18,1
207,11,20,6,65,70,60,0
208,13,7,4,35,30,32,1
209,15,18,10,95,90,88,0
210,16,3,1,10,12,15,1
211,18,11,5,45,50,42,0
212,20,14,8,72,65,70,1
213,22,6,3,28,25,30,0
214,24,9,7,55,45,50,1
215,26,16,9,88,92,85,0
216,28,5,2,22,18,20,1
217,30,13,6,60,62,58,0
218,32,8,4,40,35,38,1
219,34,19,10,98,96,92,0
220,36,4,1,12,15,14,1
221,38,10,5,48,44,46,0
222,40,12,8,75,68,72,1
223,42,7,3,32,28,31,0
224,44,15,7,58,52,55,1
225,46,20,9,82,86,78,0
226,48,3,2,18,16,19,1
227,50,11,6,63,60,65,0
228,52,6,4,38,33,36,1
229,54,17,10,93,91,89,0
230,56,5,1,14,13,17,1
231,58,9,5,46,48,44,0
232,60,14,8,70,73,69,1
233,62,8,3,26,24,29,0
234,64,13,7,52,47,53,1
235,66,18,9,85,88,82,0
236,68,4,2,16,19,16,1
237,70,12,6,67,64,61,0
238,72,7,4,36,31,34,1
239,74,16,10,97,94,90,0
240,76,3,1,11,14,13,1
241,78,10,5,43,46,41,0
242,80,15,8,77,71,74,1
243,82,6,3,29,27,26,0
244,84,9,7,57,49,51,1
245,86,19,9,89,87,84,0
246,88,5,2,21,17,22,1
247,90,13,6,61,59,63,0
248,92,8,4,34,32,37,1
249,96,17,10,92,93,87,0
250,100,4,1,13,11,16,1
251,1,6,4,25,22,28,0
252,3,17,9,84,81,79,1
253,6,9,6,54,58,49,0
254,8,12,2,31,26,33,1
255,10,21,8,76,74,71,0
256,12,5,5,44,39,45,1
257,14,14,3,27,29,24,0
258,17,8,7,68,63,66,1
259,19,16,10,91,89,86,0
260,21,3,1,17,14,18,1
261,23,11,5,49,52,47,0
262,25,7,8,73,69,76,1
263,27,18,4,37,41,35,0
264,29,10,6,59,56,62,1
265,31,15,9,87,83,81,0
266,33,4,2,23,21,27,1
267,35,13,7,64,67,59,0
268,37,6,3,33,36,30,1
269,39,19,10,96,92,94,0
270,41,5,1,19,18,21,1
271,43,12,5,47,45,48,0
272,45,8,8,79,72,77,1
273,47,14,3,39,34,43,0
274,49,9,7,56,53,57,1
275,51,20,9,83,90,80,0
276,53,3,2,16,12,20,1
277,55,11,6,66,61,68,0
278,57,7,4,42,38,40,1
279,59,17,10,94,97,91,0
280,61,4,1,15,16,12,1
281,63,10,5,51,49,54,0
282,65,13,8,71,66,73,1
283,67,6,3,24,23,32,0
284,69,16,7,62,57,60,1
285,71,18,9,86,84,83,0
286,73,5,2,20,19,17,1
287,75,12,6,69,70,64,0
288,77,8,4,41,37,39,1
289,79,15,10,99,95,93,0
290,81,3,1,13,11,15,1
291,83,9,5,53,46,50,0
292,85,14,8,78,75,70,1
293,87,7,3,35,29,34,0
294,89,13,7,58,55,52,1
295,91,19,9,88,91,85,0
296,93,4,2,18,13,16,1
297,95,11,6,63,65,61,0
298,97,6,4,30,27,31,1
299,99,17,10,90,88,89,0
300,100,5,1,12,10,14,1
