Time,ReadyQueue,SelectedProcess,WaitingTime,AgingBonus,DynamicPriority,Reason
0,"P1",P1,0,0.00,20.00,"Highest dynamic priority among READY processes"
10,"P2 P3 P4 P5 P6",P3,6,0.30,19.30,"Highest dynamic priority among READY processes"
22,"P2 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13",P12,2,0.10,20.10,"Highest dynamic priority among READY processes"
36,"P2 P4 P5 P6 P7 P8 P9 P10 P11 P13 P14 P15 P16 P17 P18 P19 P20",P9,21,1.05,19.75,"Selected after aging changed the ranking"
54,"P2 P4 P5 P6 P7 P8 P10 P11 P13 P14 P15 P16 P17 P18 P19 P20 P21 P22 P23 P24 P25 P26 P27 P28 P29",P22,14,0.70,20.70,"Highest dynamic priority among READY processes"
66,"P2 P4 P5 P6 P7 P8 P10 P11 P13 P14 P15 P16 P17 P18 P19 P20 P21 P23 P24 P25 P26 P27 P28 P29 P30 P31 P32 P33 P34 P35",P14,42,2.10,21.10,"Selected after aging changed the ranking"
75,"P2 P4 P5 P6 P7 P8 P10 P11 P13 P15 P16 P17 P18 P19 P20 P21 P23 P24 P25 P26 P27 P28 P29 P30 P31 P32 P33 P34 P35 P36 P37 P38 P39",P5,68,3.40,21.10,"Selected after aging changed the ranking"
90,"P2 P4 P6 P7 P8 P10 P11 P13 P15 P16 P17 P18 P19 P20 P21 P23 P24 P25 P26 P27 P28 P29 P30 P31 P32 P33 P34 P35 P36 P37 P38 P39 P40 P41 P42 P43 P44 P45 P46 P47",P19,56,2.80,21.50,"Selected after aging changed the ranking"
109,"P2 P4 P6 P7 P8 P10 P11 P13 P15 P16 P17 P18 P20 P21 P23 P24 P25 P26 P27 P28 P29 P30 P31 P32 P33 P34 P35 P36 P37 P38 P39 P40 P41 P42 P43 P44 P45 P46 P47 P48 P49 P50",P32,49,2.45,22.45,"Highest dynamic priority among READY processes"
123,"P2 P4 P6 P7 P8 P10 P11 P13 P15 P16 P17 P18 P20 P21 P23 P24 P25 P26 P27 P28 P29 P30 P31 P33 P34 P35 P36 P37 P38 P39 P40 P41 P42 P43 P44 P45 P46 P47 P48 P49 P50",P24,79,3.95,22.95,"Selected after aging changed the ranking"
138,"P2 P4 P6 P7 P8 P10 P11 P13 P15 P16 P17 P18 P20 P21 P23 P25 P26 P27 P28 P29 P30 P31 P33 P34 P35 P36 P37 P38 P39 P40 P41 P42 P43 P44 P45 P46 P47 P48 P49 P50",P15,112,5.60,23.30,"Selected after aging changed the ranking"
154,"P2 P4 P6 P7 P8 P10 P11 P13 P16 P17 P18 P20 P21 P23 P25 P26 P27 P28 P29 P30 P31 P33 P34 P35 P36 P37 P38 P39 P40 P41 P42 P43 P44 P45 P46 P47 P48 P49 P50",P29,100,5.00,23.70,"Selected after aging changed the ranking"
171,"P2 P4 P6 P7 P8 P10 P11 P13 P16 P17 P18 P20 P21 P23 P25 P26 P27 P28 P30 P31 P33 P34 P35 P36 P37 P38 P39 P40 P41 P42 P43 P44 P45 P46 P47 P48 P49 P50",P42,91,4.55,24.55,"Highest dynamic priority among READY processes"
186,"P2 P4 P6 P7 P8 P10 P11 P13 P16 P17 P18 P20 P21 P23 P25 P26 P27 P28 P30 P31 P33 P34 P35 P36 P37 P38 P39 P40 P41 P43 P44 P45 P46 P47 P48 P49 P50",P34,122,6.10,25.10,"Highest dynamic priority among READY processes"
199,"P2 P4 P6 P7 P8 P10 P11 P13 P16 P17 P18 P20 P21 P23 P25 P26 P27 P28 P30 P31 P33 P35 P36 P37 P38 P39 P40 P41 P43 P44 P45 P46 P47 P48 P49 P50",P25,153,7.65,25.35,"Selected after aging changed the ranking"
219,"P2 P4 P6 P7 P8 P10 P11 P13 P16 P17 P18 P20 P21 P23 P26 P27 P28 P30 P31 P33 P35 P36 P37 P38 P39 P40 P41 P43 P44 P45 P46 P47 P48 P49 P50",P8,206,10.30,26.30,"Selected after aging changed the ranking"
226,"P2 P4 P6 P7 P10 P11 P13 P16 P17 P18 P20 P21 P23 P26 P27 P28 P30 P31 P33 P35 P36 P37 P38 P39 P40 P41 P43 P44 P45 P46 P47 P48 P49 P50",P39,152,7.60,26.30,"Selected after aging changed the ranking"
242,"P2 P4 P6 P7 P10 P11 P13 P16 P17 P18 P20 P21 P23 P26 P27 P28 P30 P31 P33 P35 P36 P37 P38 P40 P41 P43 P44 P45 P46 P47 P48 P49 P50",P44,158,7.90,26.90,"Highest dynamic priority among READY processes"
251,"P2 P4 P6 P7 P10 P11 P13 P16 P17 P18 P20 P21 P23 P26 P27 P28 P30 P31 P33 P35 P36 P37 P38 P40 P41 P43 P45 P46 P47 P48 P49 P50",P18,219,10.95,26.95,"Selected after aging changed the ranking"
259,"P2 P4 P6 P7 P10 P11 P13 P16 P17 P20 P21 P23 P26 P27 P28 P30 P31 P33 P35 P36 P37 P38 P40 P41 P43 P45 P46 P47 P48 P49 P50",P35,193,9.65,27.35,"Selected after aging changed the ranking"
277,"P2 P4 P6 P7 P10 P11 P13 P16 P17 P20 P21 P23 P26 P27 P28 P30 P31 P33 P36 P37 P38 P40 P41 P43 P45 P46 P47 P48 P49 P50",P7,266,13.30,28.00,"Selected after aging changed the ranking"
297,"P2 P4 P6 P10 P11 P13 P16 P17 P20 P21 P23 P26 P27 P28 P30 P31 P33 P36 P37 P38 P40 P41 P43 P45 P46 P47 P48 P49 P50",P49,201,10.05,28.75,"Highest dynamic priority among READY processes"
314,"P2 P4 P6 P10 P11 P13 P16 P17 P20 P21 P23 P26 P27 P28 P30 P31 P33 P36 P37 P38 P40 P41 P43 P45 P46 P47 P48 P50",P6,305,15.25,29.25,"Selected after aging changed the ranking"
318,"P2 P4 P10 P11 P13 P16 P17 P20 P21 P23 P26 P27 P28 P30 P31 P33 P36 P37 P38 P40 P41 P43 P45 P46 P47 P48 P50",P4,313,15.65,29.35,"Selected after aging changed the ranking"
326,"P2 P10 P11 P13 P16 P17 P20 P21 P23 P26 P27 P28 P30 P31 P33 P36 P37 P38 P40 P41 P43 P45 P46 P47 P48 P50",P28,274,13.70,29.70,"Selected after aging changed the ranking"
332,"P2 P10 P11 P13 P16 P17 P20 P21 P23 P26 P27 P30 P31 P33 P36 P37 P38 P40 P41 P43 P45 P46 P47 P48 P50",P45,246,12.30,30.00,"Highest dynamic priority among READY processes"
351,"P2 P10 P11 P13 P16 P17 P20 P21 P23 P26 P27 P30 P31 P33 P36 P37 P38 P40 P41 P43 P46 P47 P48 P50",P17,321,16.05,30.75,"Selected after aging changed the ranking"
364,"P2 P10 P11 P13 P16 P20 P21 P23 P26 P27 P30 P31 P33 P36 P37 P38 P40 P41 P43 P46 P47 P48 P50",P11,346,17.30,31.00,"Selected after aging changed the ranking"
375,"P2 P10 P13 P16 P20 P21 P23 P26 P27 P30 P31 P33 P36 P37 P38 P40 P41 P43 P46 P47 P48 P50",P16,347,17.35,31.35,"Selected after aging changed the ranking"
380,"P2 P10 P13 P20 P21 P23 P26 P27 P30 P31 P33 P36 P37 P38 P40 P41 P43 P46 P47 P48 P50",P38,308,15.40,31.40,"Highest dynamic priority among READY processes"
387,"P2 P10 P13 P20 P21 P23 P26 P27 P30 P31 P33 P36 P37 P40 P41 P43 P46 P47 P48 P50",P10,371,18.55,31.55,"Selected after aging changed the ranking"
390,"P2 P13 P20 P21 P23 P26 P27 P30 P31 P33 P36 P37 P40 P41 P43 P46 P47 P48 P50",P27,340,17.00,31.70,"Selected after aging changed the ranking"
401,"P2 P13 P20 P21 P23 P26 P30 P31 P33 P36 P37 P40 P41 P43 P46 P47 P48 P50",P21,363,18.15,31.85,"Selected after aging changed the ranking"
411,"P2 P13 P20 P23 P26 P30 P31 P33 P36 P37 P40 P41 P43 P46 P47 P48 P50",P2,409,20.45,32.15,"Selected after aging changed the ranking"
416,"P13 P20 P23 P26 P30 P31 P33 P36 P37 P40 P41 P43 P46 P47 P48 P50",P26,368,18.40,32.40,"Selected after aging changed the ranking"
419,"P13 P20 P23 P30 P31 P33 P36 P37 P40 P41 P43 P46 P47 P48 P50",P48,327,16.35,32.35,"Highest dynamic priority among READY processes"
427,"P13 P20 P23 P30 P31 P33 P36 P37 P40 P41 P43 P46 P47 P50",P20,391,19.55,32.55,"Selected after aging changed the ranking"
431,"P13 P23 P30 P31 P33 P36 P37 P40 P41 P43 P46 P47 P50",P37,361,18.05,32.75,"Highest dynamic priority among READY processes"
443,"P13 P23 P30 P31 P33 P36 P40 P41 P43 P46 P47 P50",P31,385,19.25,32.95,"Selected after aging changed the ranking"
452,"P13 P23 P30 P33 P36 P40 P41 P43 P46 P47 P50",P13,430,21.50,33.20,"Selected after aging changed the ranking"
458,"P23 P30 P33 P36 P40 P41 P43 P46 P47 P50",P36,390,19.50,33.50,"Selected after aging changed the ranking"
462,"P23 P30 P33 P40 P41 P43 P46 P47 P50",P30,406,20.30,33.30,"Selected after aging changed the ranking"
467,"P23 P33 P40 P41 P43 P46 P47 P50",P47,377,18.85,33.55,"Highest dynamic priority among READY processes"
480,"P23 P33 P40 P41 P43 P46 P50",P41,402,20.10,33.80,"Selected after aging changed the ranking"
490,"P23 P33 P40 P43 P46 P50",P23,448,22.40,34.10,"Selected after aging changed the ranking"
497,"P33 P40 P43 P46 P50",P46,409,20.45,34.45,"Highest dynamic priority among READY processes"
502,"P33 P40 P43 P50",P40,426,21.30,34.30,"Highest dynamic priority among READY processes"
505,"P33 P43 P50",P33,443,22.15,33.85,"Selected after aging changed the ranking"
513,"P43 P50",P50,413,20.65,33.65,"Highest dynamic priority among READY processes"
517,"P43",P43,435,21.75,33.45,"Highest dynamic priority among READY processes"
