Scheduler,FGWaiting,BGWaiting,FGResponse,BGResponse,FGTurnaround,BGTurnaround
"FCFS",213.6800,203.8800,213.6800,203.8800,221.6400,216.8400
"Round Robin",223.3600,338.6000,1.4000,1.2400,231.3200,351.5600
"Priority",91.4400,199.9600,91.4400,199.9600,99.4000,212.9200
"Adaptive Context-Aware",228.6800,277.8000,228.6800,277.8000,236.6400,290.7600
"Adaptive Round Robin",225.8800,280.6800,181.2400,173.3600,233.8400,293.6400
"EDF",213.6800,203.8800,213.6800,203.8800,221.6400,216.8400
"FCFS",489.8000,468.3600,489.8000,468.3600,497.6800,481.6400
"Round Robin",518.8200,779.5600,1.4800,1.4400,526.7000,792.8400
"Priority",238.0800,468.9400,238.0800,468.9400,245.9600,482.2200
"Adaptive Context-Aware",501.0600,602.1400,501.0600,602.1400,508.9400,615.4200
"Adaptive Round Robin",490.8400,673.4400,412.4000,395.3600,498.7200,686.7200
"EDF",489.8000,468.3600,489.8000,468.3600,497.6800,481.6400
"FCFS",1034.0700,992.0000,1034.0700,992.0000,1041.9500,1005.2800
"Round Robin",1102.1800,1629.4600,1.4000,1.5200,1110.0600,1642.7400
"Priority",529.9900,989.2000,529.9900,989.2000,537.8700,1002.4800
"Adaptive Context-Aware",1057.5600,1259.2900,1057.5600,1259.2900,1065.4400,1272.5700
"Adaptive Round Robin",1044.0100,1412.2000,874.8700,840.4300,1051.8900,1425.4800
"EDF",1034.0700,992.0000,1034.0700,992.0000,1041.9500,1005.2800
